timestamp,open,high,low,close,volume
2024-01-01 04:00:00,108.83,109.59,107.73,108.87,33470.5
2024-01-01 05:00:00,108.86,109.53,108.07,108.57,19778.1
2024-01-01 06:00:00,108.56,109.53,108.48,109.19,18670.5
2024-01-01 07:00:00,109.19,109.81,109.14,109.75,15506.9
2024-01-01 08:00:00,109.73,110.39,109.39,109.92,18536.9
2024-01-01 09:00:00,109.91,110.35,109.65,110.13,13972.7
2024-01-01 10:00:00,110.12,110.46,109.94,110.38,14349.3
2024-01-01 11:00:00,110.37,110.8,110.06,110.75,10888.0
2024-01-01 12:00:00,110.76,111.73,110.4,111.39,16454.4
2024-01-01 13:00:00,111.4,111.9,110.9,111.24,18296.8
2024-01-01 14:00:00,111.23,111.67,110.57,110.71,18952.6
2024-01-01 15:00:00,110.71,112.98,110.03,112.55,41060.3
2024-01-01 16:00:00,112.56,113.3,112.06,112.54,34118.5
2024-01-01 17:00:00,112.53,113.04,111.96,112.8,15056.6
2024-01-01 18:00:00,112.79,114.13,112.79,113.71,31997.0
2024-01-01 19:00:00,113.71,114.55,113.41,114.0,19105.7
2024-01-01 20:00:00,113.99,114.75,113.47,114.31,27829.7
2024-01-01 21:00:00,114.33,114.44,113.27,114.16,19936.8
2024-01-01 22:00:00,114.16,115.1,113.54,114.71,21700.8
2024-01-01 23:00:00,114.71,116.35,114.69,116.32,28336.4
2024-01-02 00:00:00,116.32,118.33,115.7,118.23,61085.2
2024-01-02 01:00:00,118.24,120.07,118.12,119.55,61621.3
2024-01-02 02:00:00,119.54,119.99,118.28,119.53,53529.1
2024-01-02 03:00:00,119.53,119.63,117.57,118.2,30725.3
2024-01-02 04:00:00,118.21,118.97,117.42,117.71,35643.2
2024-01-02 05:00:00,117.7,117.92,116.22,116.29,20094.8
2024-01-02 06:00:00,116.29,117.08,115.93,116.19,22681.5
2024-01-02 07:00:00,116.17,116.6,115.79,116.11,13944.4
2024-01-02 08:00:00,116.11,119.04,115.96,118.17,45202.8
2024-01-02 09:00:00,118.18,118.55,117.43,117.84,16202.7
2024-01-02 10:00:00,117.88,117.92,116.47,116.91,17784.0
